InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,  TotalSum,InvoiceMonth
416792,572558,POPPY'S PLAYHOUSE BEDROOM,6,10/25/2011,2.1,14286,United Kingdom,12.6,2011-10
482904,577485,VINTAGE LEAF MAGNETIC NOTEPAD,1,11/20/2011,1.45,16360,United Kingdom,1.45,2011-11
263743,560034,FOOD COVER WITH BEADS SET 2,6,7/14/2011,3.75,13933,United Kingdom,22.5,2011-07
495549,578307,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,11/23/2011,2.1,17290,United Kingdom,2.1,2011-11
204384,554656,BATH BUILDING BLOCK WORD,3,5/25/2011,5.95,17663,United Kingdom,17.85,2011-05
125615,547051,PENNY FARTHING BIRTHDAY CARD,12,3/20/2011,0.42,12902,United Kingdom,5.04,2011-03
483123,577493,RED RETROSPOT CHARLOTTE BAG,10,11/20/2011,0.85,17323,United Kingdom,8.5,2011-11
449888,575143,JUMBO BAG VINTAGE CHRISTMAS,10,11/8/2011,2.08,13643,United Kingdom,20.8,2011-11
127438,547223,KING MOULD EASTER EGG WHITE CHOC,2,3/21/2011,2.95,12867,United Kingdom,5.9,2011-03
189515,553156,PACK OF 72 RETROSPOT CAKE CASES,2,5/13/2011,0.55,17841,United Kingdom,1.1,2011-05
181007,552418,OW A FLYTRAP OR SUNFLOWER IN TIN,24,5/9/2011,1.25,13971,United Kingdom,30,2011-05
439284,574444,PAPER CHAIN KIT 50'S CHRISTMAS,2,11/4/2011,2.95,18122,United Kingdom,5.9,2011-11
198992,554079,LARGE ANTIQUE WHITE PHOTO FRAME,1,5/22/2011,7.9,14546,United Kingdom,7.9,2011-05
223228,556475,LARGE WHITE HEART OF WICKER,6,6/12/2011,2.95,18109,United Kingdom,17.7,2011-06
355073,567905,EGG FRYING PAN PINK,6,9/22/2011,2.08,12952,United Kingdom,12.48,2011-09
348881,567474,OVEN MITT APPLES DESIGN,2,9/20/2011,1.45,13448,United Kingdom,2.9,2011-09
419995,572866,LUNCH BAG PINK POLKADOT,1,10/26/2011,1.65,15005,United Kingdom,1.65,2011-10
309002,564060,TREASURE TIN GYMKHANA DESIGN,1,8/22/2011,2.08,17073,United Kingdom,2.08,2011-08
270135,560547,ASSORTED COLOUR BIRD ORNAMENT,8,7/19/2011,1.69,17419,United Kingdom,13.52,2011-07
321727,565198,ALARM CLOCK BAKELIKE RED,4,9/1/2011,3.75,16729,United Kingdom,15,2011-09
232256,557311,12 LAVENDER  BOTANICAL T-LIGHTS,2,6/19/2011,2.95,15700,United Kingdom,5.9,2011-06
116024,546182,CREAM FELT EASTER EGG BASKET,6,3/10/2011,1.65,14334,United Kingdom,9.9,2011-03
300478,563198,NATURAL SLATE CHALKBOARD LARGE,18,8/14/2011,4.25,15270,United Kingdom,76.5,2011-08
95854,544467,6 RIBBONS RUSTIC CHARM,3,2/20/2011,1.65,14502,United Kingdom,4.95,2011-02
401992,571457,OT WATER BOTTLE TEA AND SYMPATHY,4,10/17/2011,4.25,12963,United Kingdom,17,2011-10
3754,536673,CHRISTMAS TREE STAR DECORATION,36,12/2/2010,0.42,14060,United Kingdom,15.12,2010-12
294186,562688,ELTCRAFT PRINCESS CHARLOTTE DOLL,2,8/8/2011,3.75,13869,United Kingdom,7.5,2011-08
14738,537614,HAND WARMER RED RETROSPOT,7,12/7/2010,2.1,16904,United Kingdom,14.7,2010-12
514643,579712,CHRISTMAS GINGHAM STAR,6,11/30/2011,0.85,15467,United Kingdom,5.1,2011-11
46727,540357,LUNCH BAG SPACEBOY DESIGN,20,1/6/2011,1.65,13093,United Kingdom,33,2011-01
57703,541218,RED HEARTS LIGHT CHAIN,12,1/14/2011,1.25,16638,United Kingdom,15,2011-01
283170,561695,REGENCY CAKESTAND 3 TIER,6,7/29/2011,12.75,14005,United Kingdom,76.5,2011-07
