Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
12669,9656,7561,214,2674,1338
7057,9810,9568,1762,3293,1776
6353,8808,7684,2405,3516,7844
13265,1196,4221,6404,507,1788
22615,5410,7198,3915,1777,5185
9413,8259,5126,666,1795,1451
12126,3199,6975,480,3140,545
7579,4956,9426,1669,3321,2566
5963,3648,6192,425,1716,750
6006,11093,18881,1159,7425,2098
3366,5403,12974,4400,5977,1744
13146,1124,4523,1420,549,497
31714,12319,11757,287,3881,2931
21217,6208,14982,3095,6707,602
24653,9465,12091,294,5058,2168
10253,1114,3821,397,964,412
1020,8816,12121,134,4508,1080
5876,6157,2933,839,370,4478
18601,6327,10099,2205,2767,3181
7780,2495,9464,669,2518,501
17546,4519,4602,1066,2259,2124
5567,871,2010,3383,375,569
31276,1917,4469,9408,2381,4334
26373,36423,22019,5154,4337,16523
22647,9776,13792,2915,4482,5778
16165,4230,7595,201,4003,57
9898,961,2861,3151,242,833
14276,803,3045,485,100,518
4113,20484,25957,1158,8604,5206
43088,2100,2609,1200,1107,823
6633,2096,4563,1389,1860,1892
2126,3289,3281,1535,235,4365
97,3605,12400,98,2970,62
4983,4859,6633,17866,912,2435
5969,1990,3417,5679,1135,290
7842,6046,8552,1691,3540,1874
4389,10940,10908,848,6728,993
5065,5499,11055,364,3485,1063
660,8494,18622,133,6740,776
8861,3783,2223,633,1580,1521
4456,5266,13227,25,6818,1393
17063,4847,9053,1031,3415,1784
26400,1377,4172,830,948,1218
17565,3686,4657,1059,1803,668
16980,2884,12232,874,3213,249
11243,2408,2593,15348,108,1886
13134,9347,14316,3141,5079,1894
31012,16687,5429,15082,439,1163
3047,5970,4910,2198,850,317
8607,1750,3580,47,84,2501
3097,4230,16483,575,241,2080
8533,5506,5160,13486,1377,1498
21117,1162,4754,269,1328,395
1982,3218,1493,1541,356,1449
16731,3922,7994,688,2371,838
29703,12051,16027,13135,182,2204
39228,1431,764,4510,93,2346
14531,15488,30243,437,14841,1867
10290,1981,2232,1038,168,2125
2787,1698,2510,65,477,52
